# Marks Data
# Format: ROLL|SEMESTER|COURSE|Q1|Q2|MID|FINAL|ASSIGN
2025-BSCPE-1|SEM1|CALC1|6|6|29|33|7
2025-BSCPE-1|SEM1|PF|7|7|29|28|10
2025-BSCPE-1|SEM1|AICT|6|10|24|26|6
2025-BSCPE-1|SEM1|FQ|6|7|21|25|10
2025-BSCPE-1|SEM1|AP|7|10|24|32|9
2025-BSCPE-1|SEM2|OOPS|10|8|30|25|7
2025-BSCPE-1|SEM2|DLD|9|8|22|29|7
2025-BSCPE-1|SEM2|DBMS|8|6|19|37|6
2025-BSCPE-1|SEM2|ASP|8|8|27|33|6
2025-BSCPE-1|SEM2|CS|9|10|19|37|6
2025-BSCPE-1|SEM2|CALC2|10|8|28|36|10
2025-BSCPE-2|SEM1|CALC1|6|4|11|33|5
2025-BSCPE-2|SEM1|PF|7|4|17|39|4
2025-BSCPE-2|SEM1|AICT|9|7|24|32|10
2025-BSCPE-2|SEM1|FQ|8|5|21|23|5
2025-BSCPE-2|SEM1|AP|7|4|29|32|5
2025-BSCPE-2|SEM2|OOPS|6|5|24|24|6
2025-BSCPE-2|SEM2|DLD|6|8|11|19|10
2025-BSCPE-2|SEM2|DBMS|3|8|22|20|4
2025-BSCPE-2|SEM2|ASP|6|8|16|32|7
2025-BSCPE-2|SEM2|CS|9|10|14|20|5
2025-BSCPE-2|SEM2|CALC2|6|7|28|25|8
2025-BSCPE-3|SEM1|CALC1|9|8|17|16|8
2025-BSCPE-3|SEM1|PF|10|4|11|39|4
2025-BSCPE-3|SEM1|AICT|5|5|23|31|4
2025-BSCPE-3|SEM1|FQ|9|9|29|26|8
2025-BSCPE-3|SEM1|AP|7|3|13|33|8
2025-BSCPE-3|SEM2|OOPS|7|8|13|21|7
2025-BSCPE-3|SEM2|DLD|5|10|10|35|9
2025-BSCPE-3|SEM2|DBMS|7|5|26|15|10
2025-BSCPE-3|SEM2|ASP|7|6|14|23|10
2025-BSCPE-3|SEM2|CS|5|3|29|22|7
2025-BSCPE-3|SEM2|CALC2|3|4|21|40|10
2025-BSCPE-4|SEM1|CALC1|7|6|11|19|8
2025-BSCPE-4|SEM1|PF|4|4|25|38|4
2025-BSCPE-4|SEM1|AICT|5|5|25|29|5
2025-BSCPE-4|SEM1|FQ|7|9|16|29|10
2025-BSCPE-4|SEM1|AP|6|7|22|33|9
2025-BSCPE-4|SEM2|OOPS|8|10|26|26|4
2025-BSCPE-4|SEM2|DLD|6|6|12|22|4
2025-BSCPE-4|SEM2|DBMS|6|6|10|14|9
2025-BSCPE-4|SEM2|ASP|3|6|12|40|4
2025-BSCPE-4|SEM2|CS|8|4|26|19|6
2025-BSCPE-4|SEM2|CALC2|10|6|27|16|9
2025-BSCPE-5|SEM1|CALC1|10|10|25|32|9
